county,Code
Alameda,KOAK
Alpine,KTVL
Amador,KTVL
Butte,KOVE
Calaveras,KO22
Colusa,KMYV
Contra Costa,CCR
Del Norte,CEC
El Dorado,KSMF
Fresno,KFAT
Glenn,KWLW
Humboldt,KFOT
Imperial,KSAS
Inyo,KBIH
Kern,KMHV
Kings,KNLC
Lake,KUKI
Lassen,KAHC
Los Angeles,KLAX
Madera,KFAT
Marin,KDVO
Mariposa,KMCE
Mendocino,KUKI
Merced,KMER
Modoc,KAAT
Mono,KMMH
Monterey,KMRY
Napa,KAPC
Nevada,KSMF
Orange,KSLI
Placer,KBLU
Plumas,KOVE
Riverside,KRIV
Sacramento,KSMF
San Benito,KCVH
San Bernardino,KSBD
San Diego,KSAN
San Francisco,KSFO
San Joaquin,KSCK
San Luis Obispo,KSBP
San Mateo,KSFO
Santa Barbara,KSBA
Santa Clara,KSJC
Santa Cruz,KWVI
Shasta,KRDD
Sierra,KTRK
Siskiyou,KSIY
Solano,KVCB
Sonoma,KSTS
Stanislaus,KMOD
Sutter,KMYV
Tehama,KRBL
Trinity,KRDD
Tuolumne,KO22
Tulare,KPTV
Ventura,KSZP
Yolo,KSMF
Yuba,KMYV
