avgHumidity,county,dewPoint,fire,maxHumidity,maxTemp,maxWind,meanTemp,minHumidity,minTemp,startDate
64,Alameda,37,0,100,64,23,49,27,33,1/12/14
79,Alameda,41,0,93,51,17,46,65,40,2/24/11
61,Alameda,51,0,86,76,21,65,36,53,3/27/15
77,Alameda,50,0,86,60,13,58,67,56,4/10/16
74,Alameda,43,0,100,66,13,50,48,34,5/11/10
61,Alameda,44,0,86,72,17,61,35,49,6/24/12
44,Alameda,48,0,67,90,16,75,21,59,6/14/17
41,Alameda,47,0,65,97,15,78,16,59,6/13/10
57,Alameda,51,0,86,87,17,71,28,55,7/23/10
69,Alameda,56,0,84,76,17,68,54,60,7/1/12
60,Alameda,54,0,93,94,18,75,26,56,7/13/14
50,Alameda,51,0,75,84,17,72,24,59,8/28/16
76,Alameda,56,0,90,71,22,66,61,60,8/20/14
64,Alameda,50,0,89,75,20,64,38,53,8/26/12
52,Alameda,49,0,87,89,15,74,17,58,9/27/15
33,Alameda,45,0,56,96,14,79,9,61,9/24/15
51,Alameda,51,0,80,88,15,73,22,57,9/28/16
67,Alameda,49,0,93,73,15,63,41,52,10/6/12
74,Alameda,53,0,90,70,18,62,57,54,11/13/17
89,Alameda,46,0,100,52,23,48,77,43,12/14/14
82,Alameda,50,0,100,64,12,56,63,47,1/25/13
63,Alameda,40,0,89,66,13,52,37,38,2/17/12
50,Alameda,36,0,87,73,10,57,19,41,3/12/14
39,Alameda,34,0,66,84,17,66,12,47,4/17/15
51,Alameda,39,0,71,70,20,60,30,50,5/12/15
51,Alameda,42,0,72,74,21,65,29,55,6/14/16
54,Alameda,54,0,90,103,18,83,17,63,6/28/13
46,Alameda,56,0,73,105,17,86,18,66,6/22/17
49,Alameda,48,0,84,98,16,78,14,58,7/6/17
55,Alameda,52,0,93,99,15,77,16,55,7/11/12
59,Alameda,53,0,86,84,18,70,32,55,7/25/11
71,Alameda,54,0,100,83,15,66,42,48,8/13/16
52,Alameda,55,0,86,93,20,75,18,57,8/25/17
60,Alameda,50,0,77,76,20,67,43,57,8/4/16
80,Alameda,56,0,97,68,18,62,63,56,9/21/13
54,Alameda,49,0,86,90,14,74,21,58,9/5/10
59,Alameda,48,0,89,79,16,65,28,51,9/14/10
71,Alameda,55,0,93,74,30,64,49,54,10/15/16
71,Alameda,54,0,86,71,13,64,55,56,11/6/16
78,Alameda,46,0,93,58,9,53,62,48,12/4/10
87,Alameda,43,0,93,48,16,46,80,43,1/2/11
92,Alameda,46,0,100,52,13,48,83,44,2/6/14
71,Alameda,41,0,89,59,13,50,53,40,3/5/10
49,Alameda,45,0,82,84,24,66,26,48,4/10/13
57,Alameda,43,0,72,68,17,60,42,52,5/24/10
42,Alameda,39,0,72,89,17,72,12,55,6/14/13
48,Alameda,49,0,72,90,17,72,23,54,6/5/17
68,Alameda,56,0,93,84,16,69,42,53,6/15/11
68,Alameda,57,0,100,84,21,72,35,59,7/6/15
40,Alameda,48,0,72,100,17,79,8,58,7/28/16
29,Alameda,44,0,47,99,16,84,11,68,7/17/17
77,Alameda,54,0,93,71,18,64,61,56,8/21/11
79,Alameda,58,0,100,75,21,67,57,58,8/22/14
61,Alameda,53,0,78,75,18,68,43,61,8/4/15
71,Alameda,50,0,100,78,20,62,42,46,9/15/17
75,Alameda,56,0,93,76,20,66,57,56,9/5/14
28,Alameda,50,0,44,110,10,92,11,73,9/2/17
56,Alameda,40,0,93,75,9,59,19,43,10/26/12
67,Alameda,49,0,93,73,8,61,41,48,11/3/12
83,Alameda,38,0,100,54,10,44,66,33,12/17/11
50,Alameda,30,0,57,54,10,48,42,41,1/3/16
74,Alameda,46,0,100,66,12,54,48,42,2/14/10
69,Alameda,46,0,89,67,18,54,48,41,3/3/13
68,Alameda,52,0,96,81,14,66,39,51,4/2/17
66,Alameda,50,0,83,73,16,64,49,55,5/9/16
44,Alameda,43,0,71,85,21,69,17,53,6/17/10
59,Alameda,46,0,86,73,24,64,31,54,6/18/13
48,Alameda,51,0,72,91,22,75,24,58,6/17/12
55,Alameda,52,0,93,91,15,73,16,55,7/27/11
60,Alameda,55,0,87,86,15,72,32,58,7/19/11
60,Alameda,53,0,86,87,18,73,34,58,7/26/11
52,Alameda,52,0,87,90,18,74,17,58,8/15/14
74,Alameda,57,0,90,74,18,67,57,59,8/9/17
70,Alameda,57,0,94,84,17,72,39,59,8/9/17
53,Alameda,51,0,93,96,17,76,12,56,9/2/11
40,Alameda,43,0,65,96,14,77,14,58,9/25/16
61,Alameda,50,0,93,82,15,68,28,53,9/24/12
44,Alameda,41,0,71,86,12,69,16,52,10/21/15
58,Alameda,35,0,92,69,14,54,24,39,11/11/10
68,Alameda,45,0,93,67,17,53,42,39,12/2/13
,Alameda,,0,,58,,,,37,1/7/11
78,Alameda,42,0,100,60,15,50,55,40,2/3/13
61,Alameda,46,0,89,74,16,62,33,50,3/14/14
54,Alameda,48,0,83,79,16,66,25,52,4/13/14
63,Alameda,50,0,93,79,23,68,33,56,5/22/12
61,Alameda,51,0,80,74,20,65,41,56,6/9/10
43,Alameda,43,0,77,89,22,73,9,56,6/14/14
50,Alameda,47,0,88,93,14,73,15,53,6/20/15
54,Alameda,50,0,86,87,16,70,21,53,7/14/13
57,Alameda,51,0,86,87,17,71,28,55,7/23/10
42,Alameda,47,0,78,99,20,82,5,64,7/27/14
61,Alameda,54,0,80,81,17,70,42,59,8/21/11
67,Alameda,53,0,96,87,13,68,37,48,8/11/12
51,Alameda,49,0,86,92,16,73,15,54,8/16/16
38,Alameda,51,0,59,98,14,79,16,60,9/20/11
55,Alameda,52,0,84,85,18,73,25,61,9/15/14
45,Alameda,48,0,77,106,12,82,12,57,9/1/17
65,Alameda,53,0,80,72,17,65,49,58,10/4/12
68,Alameda,44,0,93,61,30,53,42,44,11/15/15
55,Alameda,31,0,85,61,14,49,25,36,12/19/13
64,Alameda,37,0,92,63,13,52,36,40,1/20/11
79,Alameda,38,0,100,55,16,45,47,35,2/3/14
53,Alameda,38,0,76,70,9,56,30,41,3/5/15
65,Alameda,55,0,87,82,17,68,42,54,4/22/12
58,Alameda,46,0,77,75,20,62,38,49,5/15/13
56,Alameda,52,0,83,91,23,71,29,51,6/15/17
45,Alameda,43,0,83,87,21,70,7,53,6/27/12
53,Alameda,50,0,86,95,15,75,19,54,6/2/16
42,Alameda,44,0,72,91,15,75,12,58,7/3/10
79,Alameda,54,0,100,75,21,63,57,50,7/4/14
30,Alameda,43,0,53,104,18,85,6,66,7/8/17
61,Alameda,56,0,84,86,18,74,37,61,8/8/17
63,Alameda,59,0,90,88,17,75,36,62,8/15/13
