fire_name,county,cost,burnt_acres,startDate,finishDate,latitude,longitude,injuries,destroyedStructures,threatenedStructures,airtankers,dozers,fireEngines,firePersonnel,fireCrews,helicopters,waterTenders,meanTemp,maxTemp,minTemp,dewPoint,avgHumidity,maxHumidity,minHumidity,fire,maxWind
Sierra Fire Incident Information: ,Orange,6.9,10584,2/6/06 04:30,2/12/06 18:00,33.76733777,-117.6885213,8,0,0,,,2,5,,,,,63,37,,,,,1,0
School Fire Incident Information: ,Ventura,3.4,3891,11/18/05 03:33,11/22/05 18:00,34.274646,-119.2290316,2,2,,,,,32,3,,,66,72,61,30,26,32,20,1,23
Rumsey Fire Incident Information: ,Yolo,10.3,39138,6/2/05 15:27,6/6/05 12:16,38.8959215,-122.2473278,4,4,,,,,30,,,,,82,52,,,,,1,0
Freds Fire Incident Information: ,El Dorado,,,10/13/04 16:15,11/9/04 11:00,36.778261,-119.4179324,,,,,,,,,,,73,90,59,41,35,54,16,1,13
Bear Fire Incident Information: ,Mariposa,1.4,416,9/2/04 12:57,9/4/04 18:00,37.4849377,-119.9662843,2,5,,,,26,367,14,,,75,93,61,48,43,72,19,1,27
Geysers Fire Incident Information: ,Lake,805,12525,9/3/04 05:24,9/10/04 07:00,39.31792909,-122.9777715,19,33,,,6,84,1505,56,2,16,70,90,50,41,43,83,14,1,26
Old Hwy Fire Incident Information: ,Mariposa,1.2,1413,9/13/04 15:51,9/15/04 07:00,37.4849377,-119.9662843,3,0,,,3,50,590,18,2,5,72,88,57,48,47,72,27,1,23
Power Fire Incident Information: ,El Dorado,,,10/6/04 14:11,11/10/04 16:00,37.07836767,-121.031484,,,,,,,,,,,,73,50,,,,,1,0
Pattison Fire Incident Information: ,Calaveras,2.9,2676,9/3/04 13:39,9/5/04 19:00,38.2089563,-120.9060026,2,58,,3,16,59,695,22,4,10,73,86,63,37,27,45,18,1,39
Bear Fire Incident Information: ,Shasta,8.8,10484,8/11/04 15:29,8/16/04 19:00,40.7361195,-122.2270387,10,110,400,,5,42,839,33,1,7,,95,61,,,,,1,0
French Fire Incident Information: ,Shasta,14.4,13005,8/14/04 14:21,8/21/04 19:00,38.59357361,-121.1564143,20,103,,,16,72,1345,34,5,35,75,88,64,46,35,52,23,1,14
